"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AQP4",8.11714576995778e-254,2.93093712777157,0.953,0.191,1.97904131017341e-249,"0","AQP4"
"C1QL1",2.26101290678326e-253,3.71153697779483,0.88,0.163,5.51257556802827e-249,"0","C1QL1"
"GFAP",1.3015400920472e-223,2.97763075028627,0.989,0.402,3.17328489842028e-219,"0","GFAP"
"F3",3.2510813290821e-221,2.90359996168477,0.942,0.263,7.92646138843506e-217,"0","F3"
"ITM2C",1.43542429514024e-218,2.82518871784533,0.996,0.398,3.49970797398142e-214,"0","ITM2C"
"WLS",3.79086772195865e-213,2.80127432275364,0.893,0.22,9.24251459290739e-209,"0","WLS"
"CNN3",1.50023118809069e-209,2.38601518667325,0.991,0.488,3.65771365968392e-205,"0","CNN3"
"FADS2",3.28007686480038e-206,3.50405593900013,0.733,0.12,7.99715540406982e-202,"0","FADS2"
"FABP7",3.69189528401589e-204,2.54692879256115,0.984,0.329,9.00120989195914e-200,"0","FABP7"
"PTPRZ1",6.59963604923891e-202,2.19116730696304,0.989,0.311,1.60905726516494e-197,"0","PTPRZ1"
"OLFM2",8.15613584512248e-202,2.61876617528635,0.893,0.215,1.98854748039931e-197,"0","OLFM2"
"FXYD6",9.7776995050864e-201,2.54849749592954,0.889,0.214,2.38390091633511e-196,"0","FXYD6"
"ATP1B2",1.05233585317521e-197,2.75215141571184,0.849,0.195,2.56570004362647e-193,"0","ATP1B2"
"MLC1",4.00188202094105e-196,2.99328024559305,0.744,0.126,9.75698855525638e-192,"0","MLC1"
"PCSK1N",4.32115015713253e-195,2.39071656515381,1,0.526,1.05353961981048e-190,"0","PCSK1N"
"BCAN",1.52676444733045e-193,2.67215907630681,0.882,0.22,3.72240439903637e-189,"0","BCAN"
"BBOX1",1.17094551155973e-191,3.026269301127,0.719,0.118,2.85488225173378e-187,"0","BBOX1"
"CHL1",4.86980307738564e-190,2.32671244957275,0.935,0.264,1.18730668829739e-185,"0","CHL1"
"PMP2",6.28740347966079e-187,2.54677480311444,0.991,0.521,1.5329318423761e-182,"0","PMP2"
"TGFB2",1.40996230789918e-184,3.20722912613688,0.737,0.14,3.43762910288899e-180,"0","TGFB2"
"GAP43",8.42271318817758e-184,2.21992703088049,0.962,0.316,2.05354170240958e-179,"0","GAP43"
"RAMP1",3.90713396426709e-183,2.42148813790035,0.933,0.299,9.52598331827958e-179,"0","RAMP1"
"SPARCL1",1.56256861993957e-181,2.3163892178777,0.949,0.28,3.80969855227468e-177,"0","SPARCL1"
"DCLK1",3.93052071738683e-178,2.66993902482613,0.855,0.224,9.58300256106083e-174,"0","DCLK1"
"TRIM47",4.75142283884482e-177,2.53651784593822,0.909,0.303,1.15844440233875e-172,"0","TRIM47"
"GPM6A",4.6090828867931e-176,1.89122422541108,0.969,0.297,1.12374049862902e-171,"0","GPM6A"
"RGMA",1.2663439228822e-175,3.09974131256218,0.65,0.101,3.08747311837908e-171,"0","RGMA"
"CD99",1.95550600552348e-174,1.90426802433955,1,0.591,4.76771919206679e-170,"0","CD99"
"ID3",2.91100652058696e-170,2.48476516539246,0.947,0.371,7.09732499784308e-166,"0","ID3"
"C1orf61",5.38792135519844e-169,2.52035319988649,0.967,0.431,1.31362910561093e-164,"0","C1orf61"
"HOPX",7.79975437032415e-169,3.00888683175661,0.797,0.199,1.90165811302873e-164,"0","HOPX"
"EMID1",9.49334983020716e-166,2.48306540220171,0.793,0.189,2.31457362210281e-161,"0","EMID1"
"BGN",1.64111173385101e-165,1.53214948997966,0.844,0.205,4.00119451830215e-161,"0","BGN"
"RHOC",3.64455842263681e-161,1.91951224281947,0.978,0.525,8.8857978902308e-157,"0","RHOC"
"CNR1",2.15525933780137e-159,2.75344238045761,0.61,0.094,5.25473779149351e-155,"0","CNR1"
"PTN",1.53654921815955e-157,1.9018867552798,0.993,0.595,3.7462606487948e-153,"0","PTN"
"S100A10",3.28665527371753e-156,1.86440216052744,0.996,0.611,8.0131942228507e-152,"0","S100A10"
"SCN1A",5.21507502439099e-156,2.99876339639284,0.59,0.091,1.27148744169677e-151,"0","SCN1A"
"PDLIM4",1.34930427129055e-155,2.09720774410439,0.875,0.247,3.28973874383349e-151,"0","PDLIM4"
"TESC",8.79602465129102e-155,3.34139834883526,0.588,0.094,2.14455877023126e-150,"0","TESC"
"NPSR1",1.25912004923871e-154,5.00820122409342,0.336,0.012,3.06986059204889e-150,"0","NPSR1"
"C2orf72",2.20280345292412e-152,3.04739679097657,0.586,0.094,5.37065509857431e-148,"0","C2orf72"
"CLU",1.47001277360446e-150,1.71500198317342,1,0.762,3.58403814332503e-146,"0","CLU"
"HEY1",1.88686468765685e-150,2.40259298636992,0.844,0.257,4.60036479497618e-146,"0","HEY1"
"NSG1",1.001645059519e-149,3.11171165332769,0.655,0.137,2.44211081961328e-145,"0","NSG1"
"CRISPLD1",2.01410910075326e-149,2.76849418785671,0.684,0.143,4.91059939854653e-145,"0","CRISPLD1"
"NPDC1",7.71466727076466e-149,2.06998815586093,0.933,0.382,1.88091302728513e-144,"0","NPDC1"
"PRRX1",1.51506038256953e-148,2.15485445629875,0.84,0.237,3.69386871874277e-144,"0","PRRX1"
"IGFBP7",5.40541791367199e-148,1.0635528393022,0.969,0.293,1.31789494153237e-143,"0","IGFBP7"
"INAFM1",2.27851872156907e-147,1.91917966478015,0.944,0.393,5.55525649505756e-143,"0","INAFM1"
"SOX9",7.51677281275196e-146,1.93144192421144,0.895,0.28,1.83266437947706e-141,"0","SOX9"
"HSPB6",6.25953209993622e-145,2.62263471856893,0.67,0.137,1.52613652128545e-140,"0","HSPB6"
"DCLK2",1.42597365348986e-143,2.26632096826382,0.722,0.169,3.47666636457363e-139,"0","DCLK2"
"TIMP3",2.74799494301487e-143,1.65298218863313,0.844,0.231,6.69988647056457e-139,"0","TIMP3"
"FHL1",2.80809616502332e-143,2.26554323172493,0.84,0.273,6.84641925994336e-139,"0","FHL1"
"ABCC3",8.25559575971636e-142,2.07431743253383,0.806,0.213,2.01279680217645e-137,"0","ABCC3"
"BAALC",1.60154593601708e-141,1.85189895587114,0.964,0.456,3.90472914660325e-137,"0","BAALC"
"C1R",4.49413830007835e-141,1.65745930741044,0.911,0.279,1.0957158589421e-136,"0","C1R"
"AGT",6.4446281902066e-141,2.20023402278887,0.851,0.286,1.57126479905427e-136,"0","AGT"
"GPC1",8.56570938516323e-141,2.27845624429027,0.882,0.35,2.08840560519665e-136,"0","GPC1"
"PON2",1.62733395097435e-140,1.79415197496364,0.967,0.548,3.96760290587057e-136,"0","PON2"
"NRCAM",5.54533321258627e-140,1.76959001400142,0.906,0.306,1.35200769056066e-135,"0","NRCAM"
"RAMP3",8.04021916484347e-140,2.78555531329061,0.599,0.11,1.96028583458049e-135,"0","RAMP3"
"CDH11",1.46018000490803e-139,2.33687265193796,0.748,0.196,3.56006486996626e-135,"0","CDH11"
"DTNA",3.71508515938767e-139,1.94799371872703,0.902,0.338,9.05774912710308e-135,"0","DTNA"
"COL6A1",8.43042779103241e-138,1.52682689035775,0.855,0.245,2.05542259973161e-133,"0","COL6A1"
"MAOB",3.69533986228387e-137,1.99311253074446,0.82,0.239,9.0096081182343e-133,"0","MAOB"
"EDNRB",1.44734445852624e-136,2.5550623683546,0.655,0.141,3.52877052433282e-132,"0","EDNRB"
"SCRG1",3.15247435654156e-136,1.76658611888327,0.967,0.442,7.68604772868397e-132,"0","SCRG1"
"PPP1R1B",4.11166351669645e-134,3.1321966519033,0.49,0.067,1.00246468200576e-129,"0","PPP1R1B"
"THY1",9.82947246370968e-134,1.94857251477188,0.771,0.209,2.39652368137706e-129,"0","THY1"
"ACTN1",1.26480463512787e-131,1.71766739053393,0.92,0.347,3.08372018090526e-127,"0","ACTN1"
"RAP1GAP",2.28242126710989e-131,2.70777813876808,0.572,0.104,5.56477129134061e-127,"0","RAP1GAP"
"CHI3L1",4.24852294578799e-130,1.81904100072864,0.964,0.455,1.03583237941257e-125,"0","CHI3L1"
"HP",6.35560279630331e-130,1.75182266881575,0.661,0.139,1.54955951776671e-125,"0","HP"
"METRN",1.15723873655716e-129,1.65588524396695,0.978,0.598,2.82146376360002e-125,"0","METRN"
"GLIS3",5.98653125159462e-129,2.22392772860248,0.735,0.198,1.45957618445128e-124,"0","GLIS3"
"PSRC1",6.82269700683961e-129,1.88083493456777,0.913,0.363,1.66344175723756e-124,"0","PSRC1"
"PPP1CB",2.16637248188599e-128,1.5923688909254,0.98,0.731,5.28183274808624e-124,"0","PPP1CB"
"DPYSL3",7.26931026389664e-128,1.727058520309,0.866,0.311,1.77233053544064e-123,"0","DPYSL3"
"HRH1",1.06610325005136e-127,2.68733544570663,0.581,0.114,2.59926633395021e-123,"0","HRH1"
"TMEM158",1.66651873646038e-127,1.45919784316114,0.929,0.347,4.06313933136406e-123,"0","TMEM158"
"NES",2.78784197311767e-127,1.98935297095955,0.824,0.275,6.7970375146582e-123,"0","NES"
"GASK1A",5.26161295844813e-127,3.26869635941443,0.445,0.057,1.28283385539924e-122,"0","GASK1A"
"PLCD3",7.34551828343727e-127,2.615292409228,0.557,0.101,1.79091081268484e-122,"0","PLCD3"
"HAS2",1.16668443691423e-126,2.85038662301791,0.606,0.124,2.84449332564059e-122,"0","HAS2"
"C1S",4.22906820516358e-126,1.39109385734006,0.84,0.217,1.03108911910093e-121,"0","C1S"
"NR2F1",6.04084540130786e-126,1.80074463523272,0.822,0.248,1.47281851729287e-121,"0","NR2F1"
"TPST1",8.45650177245299e-125,1.93002865432861,0.902,0.388,2.06177969714176e-120,"0","TPST1"
"PODXL",2.36019549221747e-123,2.43741379207865,0.581,0.118,5.75439262957541e-119,"0","PODXL"
"CTNND2",5.18922296311235e-123,2.0304637645414,0.751,0.212,1.26518445063642e-118,"0","CTNND2"
"CCND2",7.6443290874568e-123,1.67537350604928,0.844,0.288,1.86376387481284e-118,"0","CCND2"
"RHPN1",1.5351177329585e-122,2.89469124129375,0.517,0.088,3.74277054472611e-118,"0","RHPN1"
"FAM20C",2.72553355780855e-122,1.67137429597652,0.929,0.43,6.64512336729302e-118,"0","FAM20C"
"CFI",4.45133753909969e-122,2.07243319895309,0.726,0.196,1.0852806054079e-117,"0","CFI"
"LRRC2",5.42149338427694e-122,2.87799751796713,0.552,0.106,1.32181430202056e-117,"0","LRRC2"
"RIT2",9.80116787513291e-121,2.4716014738052,0.437,0.054,2.38962273963615e-116,"0","RIT2"
"MEG3",2.80505977973476e-120,1.62054902371405,0.929,0.343,6.83901624897132e-116,"0","MEG3"
"ID4",4.63528619223424e-119,1.86546214062554,0.873,0.335,1.13012912652863e-114,"0","ID4"
"ELMOD1",4.97176629202995e-119,2.36802968664536,0.552,0.107,1.21216633965982e-114,"0","ELMOD1"
"FAM181A",4.25186060092605e-118,2.6365737127521,0.546,0.105,1.03664613311178e-113,"0","FAM181A"
"DKK3",5.05512110996361e-118,2.05969500140756,0.737,0.211,1.23248907782023e-113,"0","DKK3"
"AEBP1",9.63406422943238e-118,1.7448369636798,0.813,0.249,2.34888119977791e-113,"0","AEBP1"
"NCAN",1.57710617189581e-117,3.17525362108348,0.481,0.076,3.84514255769917e-113,"0","NCAN"
"SMAD1",2.08645251653072e-117,2.17720420655009,0.682,0.184,5.08697988055356e-113,"0","SMAD1"
"EFEMP1",1.00400341271055e-115,1.88617479521849,0.737,0.203,2.44786072052958e-111,"0","EFEMP1"
"DOK5",2.2221860773618e-115,1.92568939985499,0.722,0.204,5.4179118752158e-111,"0","DOK5"
"MYBPC1",2.61417293648046e-115,2.55661854134957,0.519,0.094,6.37361503643302e-111,"0","MYBPC1"
"NOVA1",4.65530932026742e-115,1.33554794174367,0.98,0.525,1.1350109653744e-110,"0","NOVA1"
"ACHE",8.89065824041056e-115,2.24299648299798,0.601,0.135,2.1676313855945e-110,"0","ACHE"
"TMEM59L",2.19876050210664e-114,2.07251528330332,0.657,0.16,5.3607979801862e-110,"0","TMEM59L"
"GNG12",3.65238386368005e-114,1.95586502148564,0.748,0.233,8.90487709803832e-110,"0","GNG12"
"TMEM132B",1.60462406488935e-113,2.47892260625233,0.468,0.071,3.91223393260672e-109,"0","TMEM132B"
"NDP",1.52614467757829e-112,2.62583253097552,0.499,0.088,3.72089333840362e-108,"0","NDP"
"SCARA3",1.83210917613779e-112,1.98368608736467,0.786,0.273,4.46686538234154e-108,"0","SCARA3"
"MT1M",8.51848268742476e-112,1.91876109989404,0.621,0.148,2.07689126402103e-107,"0","MT1M"
"NFIA",1.17092000923431e-111,1.83087291443486,0.933,0.488,2.85482007451417e-107,"0","NFIA"
"CD151",4.26616457247923e-111,1.52172770091726,0.944,0.437,1.04013358441616e-106,"0","CD151"
"CA3",6.98914586728478e-111,1.61453265547437,0.659,0.163,1.7040236539027e-106,"0","CA3"
"CRMP1",1.25731356210095e-110,1.50771078740442,0.706,0.193,3.06545619575833e-106,"0","CRMP1"
"ALDOC",1.56538741619491e-110,2.76104290928073,0.617,0.159,3.81657105942482e-106,"0","ALDOC"
"BAALC-AS1",1.38025739421766e-109,3.03149495472689,0.43,0.063,3.36520555284207e-105,"0","BAALC-AS1"
"C1QL4",1.6144243088351e-109,4.4825259439992,0.265,0.013,3.93612790737086e-105,"0","C1QL4"
"NKAIN4",6.77661141635791e-109,2.72755623381811,0.459,0.075,1.65220562942222e-104,"0","NKAIN4"
"CDO1",1.24716979243001e-108,1.90390795878603,0.684,0.19,3.0407246709236e-104,"0","CDO1"
"FGFR3",1.62283796273776e-108,3.8362212396693,0.347,0.036,3.95664123695094e-104,"0","FGFR3"
"DBI",1.01289462130058e-107,1.24992195216089,0.989,0.823,2.46953837619293e-103,"0","DBI"
"GDPD2",1.9820864412096e-107,3.22171741245208,0.345,0.035,4.83252495231311e-103,"0","GDPD2"
"TMEM132A",2.23708973464027e-107,2.06611949276504,0.679,0.193,5.45424848202645e-103,"0","TMEM132A"
"TNC",3.83274537693887e-107,0.850913077319149,0.855,0.261,9.34461650351465e-103,"0","TNC"
"BCHE",5.38200156452536e-107,1.96364004549383,0.679,0.191,1.31218580144693e-102,"0","BCHE"
"PDPN",8.52279213021821e-107,1.64124150356022,0.857,0.331,2.0779419492685e-102,"0","PDPN"
"RND2",4.42812112116783e-106,2.19955239665186,0.677,0.2,1.07962021055193e-101,"0","RND2"
"SRI",1.08579223834049e-105,1.19382058265798,0.987,0.723,2.64727005629794e-101,"0","SRI"
"ASIC4",1.10129571953416e-105,1.86431436244379,0.532,0.1,2.68506909379624e-101,"0","ASIC4"
"ANOS1",1.25570699376259e-105,2.66195055801908,0.49,0.094,3.06153922149258e-101,"0","ANOS1"
"NDFIP1",5.66156302443969e-105,1.16631846122803,0.984,0.734,1.38034568098864e-100,"0","NDFIP1"
"NSMF",7.88146923578505e-105,2.07397095833215,0.659,0.184,1.92158101437675e-100,"0","NSMF"
"GRIA2",1.41769766642191e-104,1.25247574473336,0.755,0.228,3.45648868050326e-100,"0","GRIA2"
"SRPX",1.6944259600008e-104,2.37245909446845,0.561,0.131,4.13117993307795e-100,"0","SRPX"
"APOL4",2.57712685152431e-104,2.70942696418121,0.43,0.067,6.28329297670141e-100,"0","APOL4"
"LTBP3",4.05835451537174e-104,1.54524106752528,0.88,0.368,9.89467414392783e-100,"0","LTBP3"
"CHPT1",4.88606526878334e-104,1.51443929952395,0.864,0.335,1.19127157318207e-99,"0","CHPT1"
"CNIH2",8.07478838907562e-104,2.14974273210942,0.543,0.116,1.96871415714053e-99,"0","CNIH2"
"TUBB3",9.39908523943175e-104,1.31069008139732,0.96,0.513,2.29159097222585e-99,"0","TUBB3"
"CALD1",3.48466168589877e-103,1.1328844767818,0.969,0.497,8.49595365638978e-99,"0","CALD1"
"TRIP6",5.64293524933331e-103,1.67017356081987,0.808,0.293,1.37580404313996e-98,"0","TRIP6"
"SERPING1",9.68796760657773e-103,1.37666560959462,0.795,0.245,2.36202338215972e-98,"0","SERPING1"
"MAN1C1",1.95149772563135e-102,1.8952322632313,0.702,0.206,4.75794660486181e-98,"0","MAN1C1"
"GOLM1",1.39427330297163e-101,1.5591668001954,0.806,0.293,3.39937773997513e-97,"0","GOLM1"
"ADGRV1",9.10667367034401e-101,2.82486954187576,0.383,0.051,2.22029810756657e-96,"0","ADGRV1"
"TTYH1",1.99492651206305e-100,2.12418034320345,0.909,0.441,4.86383032906092e-96,"0","TTYH1"
"FSTL1",5.63213090150922e-100,1.64155830160334,0.682,0.191,1.37316983509696e-95,"0","FSTL1"
"EMP3",8.19327320051633e-100,1.33913299036872,0.967,0.534,1.99760193901789e-95,"0","EMP3"
"GATM",1.19093385941146e-99,1.88397748554699,0.864,0.427,2.90361584263107e-95,"0","GATM"
"ID1",1.31284821763629e-99,1.87840446221018,0.851,0.375,3.20085523941905e-95,"0","ID1"
"EMILIN1",3.21819311334251e-99,1.50402103748504,0.708,0.204,7.84627662964037e-95,"0","EMILIN1"
"ELN",6.39126814378523e-99,2.28768473826273,0.584,0.148,1.55825508613628e-94,"0","ELN"
"WWTR1",9.2219038435752e-99,1.54824698454099,0.811,0.311,2.24839237610207e-94,"0","WWTR1"
"PFN2",1.10444039694645e-98,1.45734206502105,0.915,0.451,2.69273613179514e-94,"0","PFN2"
"CHI3L2",1.20465133476883e-98,1.23044165031129,0.786,0.261,2.93706041929988e-94,"0","CHI3L2"
"PCOLCE",3.40198610855814e-98,1.36886854649624,0.548,0.122,8.29438233127561e-94,"0","PCOLCE"
"CADPS",8.49254977161961e-98,2.1780915026168,0.57,0.142,2.07056855981858e-93,"0","CADPS"
"MT1F",9.18709245098169e-98,2.01987472573861,0.601,0.157,2.23990501047385e-93,"0","MT1F"
"SOX2",1.48866409921735e-97,1.31758015707239,0.935,0.471,3.62951194030183e-93,"0","SOX2"
"PITPNC1",1.66423822269368e-97,1.83659402432271,0.601,0.153,4.05757921074946e-93,"0","PITPNC1"
"FLNC",1.82462401960366e-97,2.1582554361532,0.646,0.189,4.44861582219568e-93,"0","FLNC"
"CDC42EP4",5.73142517871137e-97,1.73928528307587,0.728,0.243,1.39737877282162e-92,"0","CDC42EP4"
"SH3BP2",6.65728815173027e-97,1.70177963805217,0.724,0.227,1.62311342427336e-92,"0","SH3BP2"
"FADS3",1.04291637831462e-96,1.71380581026849,0.78,0.281,2.54273442196886e-92,"0","FADS3"
"EFEMP2",1.27203121096714e-96,1.54767759543111,0.791,0.267,3.10133929545897e-92,"0","EFEMP2"
"MRC2",3.97581018971117e-96,1.81077381117521,0.655,0.189,9.6934228235348e-92,"0","MRC2"
"S100A16",4.56026500648772e-96,1.42780254546282,0.924,0.458,1.11183821123177e-91,"0","S100A16"
"TSPAN6",6.08847411956683e-96,2.00198904474387,0.61,0.165,1.48443087509159e-91,"0","TSPAN6"
"DPY19L1",9.84328532625754e-96,1.6559825848588,0.826,0.337,2.39989139539485e-91,"0","DPY19L1"
"EPS8L2",1.64372117609703e-95,1.97221365207613,0.488,0.098,4.00755659944218e-91,"0","EPS8L2"
"CAPS",1.77561962607321e-95,1.89904975366916,0.695,0.223,4.32913821032908e-91,"0","CAPS"
"NKAIN3-IT1",2.88629214409092e-95,2.86098302474409,0.396,0.064,7.03706887650806e-91,"0","NKAIN3-IT1"
"CADM3",3.50251091607186e-95,2.18064540170788,0.512,0.11,8.5394718644748e-91,"0","CADM3"
"FNDC4",6.30478865931478e-95,1.8712823933815,0.673,0.205,1.53717052302754e-90,"0","FNDC4"
"CDK2AP1",1.90024287716242e-94,1.19464389319642,0.98,0.702,4.63298215880968e-90,"0","CDK2AP1"
"MASP1",2.64861543448333e-94,2.5295654070778,0.396,0.062,6.45758929081381e-90,"0","MASP1"
"FAM3C",2.98151938414763e-94,1.41553284285226,0.902,0.441,7.26924241049033e-90,"0","FAM3C"
"FIGN",3.65509918079405e-94,2.07783404828574,0.546,0.132,8.91149731269397e-90,"0","FIGN"
"NUDT4",6.02196941941288e-94,1.80629174401721,0.795,0.324,1.46821636414705e-89,"0","NUDT4"
"LYPD1",9.81012820860997e-94,2.13420482750473,0.497,0.104,2.3918073585412e-89,"0","LYPD1"
"CTXN1",1.27427146759146e-93,1.76603114415594,0.666,0.203,3.10680126513473e-89,"0","CTXN1"
"ASAP3",2.25548806635971e-93,2.64092901978375,0.414,0.072,5.49910545459161e-89,"0","ASAP3"
"F12",2.36998616152597e-93,2.25506863078935,0.412,0.068,5.77826326041647e-89,"0","F12"
"FBXO17",2.95914181962615e-93,1.90568355780315,0.619,0.175,7.21468367043052e-89,"0","FBXO17"
"REEP2",6.80521374475009e-93,1.93119712417587,0.639,0.195,1.65917916310752e-88,"0","REEP2"
"C21orf62",7.05554585929615e-93,1.87997476846175,0.586,0.15,1.72021263595499e-88,"0","C21orf62"
"RFX4",1.02802462113211e-92,1.66052718603139,0.617,0.161,2.50642682878219e-88,"0","RFX4"
"PRKAR2B",1.44274815668637e-92,2.61448588658806,0.423,0.076,3.51756428081703e-88,"0","PRKAR2B"
"SERPINA3",8.8681806116045e-92,0.794158882060677,0.915,0.45,2.16215111491529e-87,"0","SERPINA3"
"CXCL14",1.28103363271372e-91,2.06248369018078,0.588,0.155,3.12328809991931e-87,"0","CXCL14"
"RCN1",1.50333090758023e-91,1.36243701688141,0.869,0.344,3.66527108577135e-87,"0","RCN1"
"OBSL1",1.93296898061657e-91,1.83355658744233,0.633,0.185,4.71277167164127e-87,"0","OBSL1"
"HEPN1",1.9700207604179e-91,1.64699303178549,0.873,0.407,4.80310761597487e-87,"0","HEPN1"
"FERMT2",2.93825028227267e-91,1.36863200540991,0.882,0.416,7.16374801320901e-87,"0","FERMT2"
"RNF180",3.09092041627158e-91,1.91353341071514,0.595,0.162,7.53597306691174e-87,"0","RNF180"
"ZFP36L2",3.5643817483461e-91,1.43969744884993,0.94,0.61,8.69031914064263e-87,"0","ZFP36L2"
"SORBS1",3.74705058070744e-91,2.27645973047328,0.486,0.106,9.1356840208228e-87,"0","SORBS1"
"TNFRSF1A",1.12140661859065e-90,1.35065824997891,0.909,0.414,2.73410147678586e-86,"0","TNFRSF1A"
"MDFI",1.19649638706305e-90,1.85178375548356,0.55,0.133,2.91717784129842e-86,"0","MDFI"
"TUBB2B",1.52939892658257e-90,1.15999390634608,0.987,0.656,3.72882752290096e-86,"0","TUBB2B"
"ADGRL3",3.46594256129845e-90,1.86097085660933,0.503,0.111,8.45031455870174e-86,"0","ADGRL3"
"SLC1A2",1.11940603261129e-89,1.86287260937851,0.55,0.135,2.7292238481096e-85,"0","SLC1A2"
"FMN2",1.70386404939087e-89,2.60394068585913,0.403,0.071,4.15419093881987e-85,"0","FMN2"
"TSPAN3",4.05373920100541e-89,1.47523010883007,0.9,0.53,9.88342154597129e-85,"0","TSPAN3"
"NMB",5.66547294217482e-89,1.90205409761528,0.793,0.353,1.38129895803164e-84,"0","NMB"
"PTMS",1.06400154188723e-88,1.0945311521865,0.987,0.582,2.59414215927525e-84,"0","PTMS"
"TRIM9",1.10799420612493e-88,1.47348102670131,0.835,0.364,2.70140067395319e-84,"0","TRIM9"
"ADGRG1",3.24047849497792e-88,1.52594559704095,0.804,0.331,7.90061061860566e-84,"0","ADGRG1"
"NKAIN3",4.91826540332738e-88,2.35440421045164,0.421,0.079,1.19912228798525e-83,"0","NKAIN3"
"NEK6",9.82230793691097e-88,1.75362286352609,0.666,0.213,2.39477689809826e-83,"0","NEK6"
"TMEM100",1.55206627396488e-87,2.42844261903095,0.374,0.059,3.78409278255378e-83,"0","TMEM100"
"SLC4A4",8.93202566850111e-87,2.47517422722325,0.425,0.084,2.17771717823726e-82,"0","SLC4A4"
"ADAM23",2.13120825923102e-86,2.49139396784195,0.412,0.077,5.19609885683114e-82,"0","ADAM23"
"CD320",5.19015383267585e-86,1.32822239384121,0.831,0.335,1.2654114059447e-81,"0","CD320"
"LRRCC1",7.31799793055583e-86,2.01095271678877,0.615,0.192,1.78420107544882e-81,"0","LRRCC1"
"NLGN4X",8.76779545598409e-86,1.84120238434328,0.499,0.112,2.13767621012348e-81,"0","NLGN4X"
"CD44",2.54781040382305e-85,1.08807266274871,0.98,0.658,6.21181654556098e-81,"0","CD44"
"FIBIN",3.41823528221062e-85,1.86313677604598,0.586,0.167,8.3339994415577e-81,"0","FIBIN"
"SPOCK2",1.15236461316161e-84,1.52944042558702,0.586,0.162,2.80958016334931e-80,"0","SPOCK2"
"MEG8",1.26120551816793e-84,1.79499296040527,0.604,0.178,3.07494517384524e-80,"0","MEG8"
"TMEM255A",1.54366495875107e-84,2.40394768889069,0.381,0.064,3.76360953593099e-80,"0","TMEM255A"
"EMP1",1.78707439143289e-84,1.42952540201485,0.831,0.364,4.35706607375253e-80,"0","EMP1"
"FOXG1",1.83630287808131e-84,1.2391322964434,0.675,0.206,4.47709004705004e-80,"0","FOXG1"
"SNTG1",4.99999429037821e-84,1.79511024611257,0.445,0.089,1.21904860793711e-79,"0","SNTG1"
"NAT14",6.09032124079382e-84,1.51537328821982,0.764,0.287,1.48488122171794e-79,"0","NAT14"
"SMARCD3",7.59010795874272e-84,1.57541745261738,0.69,0.23,1.85054422142106e-79,"0","SMARCD3"
"RALYL",1.1100614004929e-83,2.41576763598556,0.307,0.037,2.70644070054173e-79,"0","RALYL"
"RNF19A",1.21916251601813e-83,1.42472833373533,0.822,0.349,2.97244013030381e-79,"0","RNF19A"
"CCN1",1.73819960275779e-83,1.2862486022381,0.837,0.337,4.23790445148376e-79,"0","CCN1"
"AHCYL1",2.1926387870691e-83,1.56211474382863,0.869,0.473,5.34587262675317e-79,"0","AHCYL1"
"HSPB8",2.42535287118962e-83,2.33925042724133,0.53,0.145,5.91325283524742e-79,"0","HSPB8"
"STMP1",2.71471855639527e-83,1.26517939025402,0.915,0.503,6.6187553123473e-79,"0","STMP1"
"CRIP2",5.04448458898058e-83,1.41855636436814,0.771,0.289,1.22989578763935e-78,"0","CRIP2"
"RFTN1",7.08215413657041e-83,2.14156215514798,0.468,0.108,1.72670000003723e-78,"0","RFTN1"
"SMOX",8.90008807597843e-83,1.6357319686258,0.771,0.325,2.1699304738043e-78,"0","SMOX"
"NDUFA4",9.01757173683792e-83,0.782629947022753,0.993,0.887,2.19857416515845e-78,"0","NDUFA4"
"KCNIP4",1.248525696526e-82,2.06476403616366,0.343,0.05,3.04403050070003e-78,"0","KCNIP4"
"VASN",1.3091373860964e-82,1.85401868400303,0.601,0.178,3.19180786104163e-78,"0","VASN"
"SPEG",2.01796274564778e-82,2.01480517355236,0.47,0.108,4.91999497016386e-78,"0","SPEG"
"LIFR",2.33069063100827e-82,1.51625935463994,0.71,0.251,5.68245682746127e-78,"0","LIFR"
"MIR99AHG",2.78335007729115e-82,1.41850912841448,0.813,0.343,6.78608582344356e-78,"0","MIR99AHG"
"PIRT",4.89079236933429e-82,3.22681100435718,0.314,0.043,1.19242408756739e-77,"0","PIRT"
"PRDX2",8.84040783047787e-82,0.992481829595045,0.978,0.707,2.15537983314881e-77,"0","PRDX2"
"S100A6",1.19429536572829e-81,1.03433997385166,0.998,0.793,2.91181153118215e-77,"0","S100A6"
"LUZP2",1.51972257512378e-81,2.82320811896767,0.276,0.03,3.70523561040929e-77,"0","LUZP2"
"YWHAE",1.7146967008186e-81,0.791258735108953,0.998,0.88,4.18060202626583e-77,"0","YWHAE"
"CAPZA2",2.98944410172103e-81,0.990314392945635,0.971,0.689,7.28856366440605e-77,"0","CAPZA2"
"SOX6",4.53430735731393e-81,1.63704688476315,0.557,0.151,1.10550947678671e-76,"0","SOX6"
"EZR",1.27403361789655e-80,1.19913674445188,0.815,0.35,3.10622136379357e-76,"0","EZR"
"DYNLT1",1.33152761788894e-80,1.07289986782146,0.962,0.615,3.24639748517502e-76,"0","DYNLT1"
