"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AP5B1",2.91352712289398e-25,2.05855714101265,0.257,0.063,7.10347047832782e-21,"7","AP5B1"
"GRK2",2.94372473239343e-25,1.23884005312744,0.532,0.228,7.17709527004843e-21,"7","GRK2"
"ALDH21",5.97004729524456e-25,1.4326920973408,0.583,0.29,1.45555723105358e-20,"7","ALDH2"
"SERP12",7.61975445825023e-25,0.687693220148226,0.894,0.743,1.85777233446599e-20,"7","SERP1"
"DUSP41",9.26986160504133e-25,1.46450084805882,0.367,0.12,2.26008495792513e-20,"7","DUSP4"
"RPL122",1.02279697526779e-24,0.488232955641922,0.991,0.948,2.4936813054004e-20,"7","RPL12"
"COQ2",1.16651445267191e-24,1.66336384287799,0.353,0.116,2.84407888705939e-20,"7","COQ2"
"TNFRSF141",1.2153161140181e-24,1.15776298560528,0.44,0.162,2.96306221758752e-20,"7","TNFRSF14"
"RHOG2",1.52128956169884e-24,0.884920005413306,0.803,0.474,3.70905608037793e-20,"7","RHOG"
"SLC43A31",1.93144985442018e-24,1.61409472934387,0.408,0.148,4.70906789006185e-20,"7","SLC43A3"
"ZFP361",2.02406170335098e-24,0.81513396856033,0.954,0.707,4.93486483894001e-20,"7","ZFP36"
"STK101",2.33549603069445e-24,1.63719461369907,0.33,0.099,5.69417287243613e-20,"7","STK10"
"UBE2D32",3.68401545627278e-24,0.699153650426644,0.954,0.868,8.98199808393867e-20,"7","UBE2D3"
"RPL112",4.83419239341146e-24,0.354102185193099,1,0.989,1.17862444743765e-19,"7","RPL11"
"PHLDA11",4.94204464636311e-24,1.22405993653326,0.775,0.534,1.20491990522979e-19,"7","PHLDA1"
"CHST11",6.06744655097363e-24,1.68367709179699,0.399,0.146,1.47930414359288e-19,"7","CHST11"
"TAOK3",1.19902847668414e-23,1.24756789674824,0.693,0.408,2.92335132900359e-19,"7","TAOK3"
"PPARD",1.82367512740168e-23,1.79241357360983,0.344,0.113,4.44630232811803e-19,"7","PPARD"
"FNIP23",1.88427883035957e-23,1.14641793890672,0.683,0.391,4.59406021629966e-19,"7","FNIP2"
"IQGAP2",1.90024970993575e-23,1.8954369371829,0.284,0.08,4.63299881779435e-19,"7","IQGAP2"
"USP362",2.23462498044688e-23,1.47937565693829,0.486,0.211,5.44823916482754e-19,"7","USP36"
"GPX3",2.68115386595497e-23,1.23042025045652,0.303,0.087,6.53692124058482e-19,"7","GPX3"
"HNMT2",3.29269896663812e-23,1.21459265732887,0.596,0.291,8.0279293505604e-19,"7","HNMT"
"BID3",3.40034713461896e-23,1.26686355863581,0.578,0.289,8.29038634891448e-19,"7","BID"
"RPL27A2",3.82343136879761e-23,0.543326424053313,0.986,0.849,9.32190802026544e-19,"7","RPL27A"
"SH3BGRL31",4.27940543158557e-23,0.742858235885518,0.936,0.848,1.04336183827488e-18,"7","SH3BGRL3"
"PDE4B2",8.07164552809452e-23,1.2040401566434,0.725,0.452,1.96794789620473e-18,"7","PDE4B"
"RPS91",8.97522022572851e-23,0.405194012577211,0.995,0.986,2.18824844323487e-18,"7","RPS9"
"TFRC2",9.47669025228559e-23,1.81544967772646,0.495,0.238,2.31051185040975e-18,"7","TFRC"
"VASP1",9.50921945236704e-23,1.2710227904123,0.596,0.311,2.31844279468161e-18,"7","VASP"
"IGFLR11",1.04120488030713e-22,1.22750828009392,0.555,0.265,2.53856161867683e-18,"7","IGFLR1"
"RPL262",1.24383037632184e-22,0.435685812040102,1,0.979,3.03258284051028e-18,"7","RPL26"
"BRI32",1.33792888408347e-22,0.583518219663416,0.968,0.859,3.26200441228391e-18,"7","BRI3"
"RPS31",1.34433682336413e-22,0.367079371930323,0.991,0.98,3.27762760904408e-18,"7","RPS3"
"HSPA63",1.38484373385776e-22,1.05068149058291,0.835,0.584,3.37638750751862e-18,"7","HSPA6"
"ATP13A32",1.81430053561255e-22,1.03581164845191,0.67,0.385,4.42344613587696e-18,"7","ATP13A3"
"HSPB1",1.89826413007943e-22,1.00718994651359,0.954,0.801,4.62815777554665e-18,"7","HSPB1"
"CCND1",2.23333591741689e-22,1.21958413566171,0.339,0.108,5.44509630025412e-18,"7","CCND1"
"RASSF41",2.60354607909091e-22,0.967893147800111,0.665,0.358,6.34770569543155e-18,"7","RASSF4"
"HSP90AA13",3.22351663845412e-22,0.725487995647001,1,0.983,7.859255916215e-18,"7","HSP90AA1"
"SLC7A8",3.59640941040638e-22,2.06617581622085,0.271,0.08,8.76840578351179e-18,"7","SLC7A8"
"ERN12",4.16591976715764e-22,1.40221378235321,0.454,0.187,1.0156928984307e-17,"7","ERN1"
"HLA-B3",4.52559594171706e-22,0.488872441465279,1,0.938,1.10338554655004e-17,"7","HLA-B"
"ST3GAL1",5.01657899828607e-22,1.55893759935497,0.294,0.088,1.22309212557213e-17,"7","ST3GAL1"
"OPN3",5.74790763700263e-22,1.62711685756277,0.294,0.088,1.40139736097761e-17,"7","OPN3"
"SOAT11",7.26662084095381e-22,1.26833833955895,0.509,0.238,1.77167482723295e-17,"7","SOAT1"
"CNPY3",7.39413912574313e-22,1.10512458714835,0.633,0.351,1.80276506024743e-17,"7","CNPY3"
"DOCK41",7.59606802911491e-22,1.15583250917334,0.555,0.266,1.85199734617851e-17,"7","DOCK4"
"RIPK21",1.21807150493998e-21,1.28598515110967,0.56,0.285,2.96978013619417e-17,"7","RIPK2"
"PFDN51",1.28807646277636e-21,0.44170708454471,0.982,0.941,3.14045922389503e-17,"7","PFDN5"
"NRP1",1.86138315790041e-21,1.4231965254179,0.472,0.209,4.53823827727699e-17,"7","NRP1"
"SATB1",2.15083646752855e-21,1.61063555139042,0.344,0.119,5.24395439148136e-17,"7","SATB1"
"AXL1",2.28546716669411e-21,1.44235796818728,0.381,0.144,5.5721974991169e-17,"7","AXL"
"CASP42",2.41621289438295e-21,1.26375368435214,0.436,0.18,5.89096865779507e-17,"7","CASP4"
"PRKAG2-AS11",2.5864065169534e-21,1.31983982007331,0.257,0.07,6.30591772898408e-17,"7","PRKAG2-AS1"
"RPS162",2.96155958300264e-21,0.453495953554679,0.995,0.918,7.22057841931873e-17,"7","RPS16"
"NAGA",4.97254946747902e-21,1.5958498434036,0.289,0.089,1.21235728566606e-16,"7","NAGA"
"SCO2",5.48176310819744e-21,1.41572515559622,0.5,0.238,1.33650866340962e-16,"7","SCO2"
"TPM3",5.88274253958123e-21,0.811145832440168,0.862,0.686,1.4342714585753e-16,"7","TPM3"
"TMEM35B1",5.95546962521821e-21,1.36023278926024,0.505,0.236,1.45200304932445e-16,"7","TMEM35B"
"SLC2A32",7.01319717704832e-21,0.75605326402894,0.679,0.38,1.70988760373615e-16,"7","SLC2A3"
"ANXA14",8.94037601933978e-21,0.816085864695431,0.881,0.538,2.17975307727523e-16,"7","ANXA1"
"GZF1",9.26355989986007e-21,1.63529330017004,0.39,0.151,2.25854853918488e-16,"7","GZF1"
"TLE3",9.28514271102313e-21,1.28438327896928,0.436,0.18,2.26381064437455e-16,"7","TLE3"
"ODF3B1",9.48086695590503e-21,1.51906078125817,0.298,0.094,2.31153017251921e-16,"7","ODF3B"
"PELI1",9.77555473734028e-21,1.33071196235632,0.55,0.278,2.38337800051093e-16,"7","PELI1"
"SIPA1",1.00633553868919e-20,1.18354868190415,0.417,0.165,2.45354667687811e-16,"7","SIPA1"
"YWHAH1",1.2041831929096e-20,0.844462963225194,0.867,0.684,2.93591904263289e-16,"7","YWHAH"
"ENTPD1",1.27562331019116e-20,1.54213037259527,0.271,0.081,3.11009719257706e-16,"7","ENTPD1"
"CYTH13",1.3525316053269e-20,1.06649240438814,0.514,0.22,3.29760730694752e-16,"7","CYTH1"
"ITPRIP",1.71868119446306e-20,1.8721698715654,0.266,0.079,4.19031662022038e-16,"7","ITPRIP"
"TNFAIP22",1.83753714949658e-20,0.779835608664105,0.491,0.206,4.48009932418762e-16,"7","TNFAIP2"
"SQOR1",1.87969295831468e-20,1.25625227037725,0.358,0.129,4.58287940166702e-16,"7","SQOR"
"MT-CO21",2.01105256126597e-20,0.558179082327665,1,0.961,4.90314724962257e-16,"7","MT-CO2"
"RPS15A2",2.1682367750517e-20,0.300627337813844,0.986,0.969,5.28637808125356e-16,"7","RPS15A"
"PER1",2.22770719810693e-20,1.24981350418088,0.495,0.223,5.43137291970451e-16,"7","PER1"
"MT-ATP61",2.31350218165324e-20,0.530647709697049,0.982,0.968,5.64054966908876e-16,"7","MT-ATP6"
"TNS3",3.07361773029883e-20,1.52816536626937,0.252,0.071,7.49378738824158e-16,"7","TNS3"
"UPP12",3.39050179718307e-20,0.348799893773218,0.743,0.41,8.26638243171204e-16,"7","UPP1"
"COLGALT1",3.82312881168609e-20,1.41152655934709,0.44,0.189,9.32117035577184e-16,"7","COLGALT1"
"ZFP36L13",5.07553604476302e-20,0.773734493798573,0.844,0.504,1.23746644307367e-15,"7","ZFP36L1"
"INAFM2",5.69805796686204e-20,1.65252841186426,0.294,0.097,1.38924351290063e-15,"7","INAFM2"
"GALM",5.74705338509034e-20,2.03468433512715,0.275,0.087,1.40118908581888e-15,"7","GALM"
"ST8SIA41",5.92852307063773e-20,1.3253201959233,0.376,0.142,1.44543320985218e-15,"7","ST8SIA4"
"B2M4",6.1175395705486e-20,0.419984724017319,1,0.983,1.49151732269545e-15,"7","B2M"
"RPL212",6.94544735790221e-20,0.431812288728874,0.977,0.945,1.69336952033014e-15,"7","RPL21"
"DRAM2",9.77116482951221e-20,1.17779259530247,0.569,0.304,2.38230769708337e-15,"7","DRAM2"
"MT-ND23",1.127097588168e-19,0.528150143489326,0.982,0.93,2.7479766297124e-15,"7","MT-ND2"
"MOB1A1",1.30292136491889e-19,0.857722848568198,0.729,0.461,3.17665257980874e-15,"7","MOB1A"
"FNDC3B2",1.39530201028747e-19,1.25656972445917,0.5,0.246,3.40188583128189e-15,"7","FNDC3B"
"ADM2",2.03031368552204e-19,0.604522390344433,0.72,0.407,4.95010779667129e-15,"7","ADM"
"RPS141",2.07046138659451e-19,0.322457715949574,1,0.982,5.04799190665607e-15,"7","RPS14"
"ITGA52",2.56306867702434e-19,1.0974169987785,0.445,0.191,6.24901774145304e-15,"7","ITGA5"
"SIRPA1",2.93130379978047e-19,0.975692183870621,0.592,0.311,7.14681179424475e-15,"7","SIRPA"
"CENPU",3.11068821322835e-19,1.20706861824665,0.252,0.073,7.58416893267203e-15,"7","CENPU"
"MTHFD1L",4.0704775559827e-19,1.50230107010242,0.326,0.115,9.92423132924143e-15,"7","MTHFD1L"
"EIF2AK31",5.02358001378435e-19,1.49202659641033,0.404,0.171,1.22479904316076e-14,"7","EIF2AK3"
"RPL151",8.72690140892824e-19,0.348506387941592,1,0.985,2.12770583251079e-14,"7","RPL15"
"HSP90AB11",8.91565515148439e-19,0.617924137487435,0.972,0.945,2.17372588248341e-14,"7","HSP90AB1"
